Date,Return
19/08/2014,1.54%
18/08/2014,-0.30%
15/08/2014,0.29%
14/08/2014,1.56%
13/08/2014,0.49%
12/08/2014,-0.96%
11/08/2014,1.14%
08/08/2014,-0.78%
07/08/2014,1.11%
06/08/2014,-1.45%
05/08/2014,0.18%
04/08/2014,-0.24%
01/08/2014,-1.76%
31/07/2014,-1.01%
30/07/2014,-0.37%
29/07/2014,0.12%
28/07/2014,-0.39%
25/07/2014,-1.01%
24/07/2014,0.54%
23/07/2014,0.42%
22/07/2014,-0.17%
21/07/2014,-0.21%
18/07/2014,2.32%
17/07/2014,-1.44%
16/07/2014,0.39%
15/07/2014,0.54%
14/07/2014,1.87%
11/07/2014,1.06%
10/07/2014,-0.99%
09/07/2014,-1.05%
08/07/2014,-1.04%
07/07/2014,0.07%
03/07/2014,0.00%
02/07/2014,0.87%
01/07/2014,-0.06%
30/06/2014,0.26%
27/06/2014,-0.66%
26/06/2014,2.78%
25/06/2014,0.01%
24/06/2014,1.81%
23/06/2014,-0.31%
20/06/2014,0.47%
19/06/2014,1.72%
18/06/2014,0.12%
17/06/2014,-0.92%
16/06/2014,-0.54%
13/06/2014,-0.90%
12/06/2014,-0.13%
11/06/2014,-0.45%
10/06/2014,0.60%
09/06/2014,-0.16%
06/06/2014,2.13%
05/06/2014,0.90%
04/06/2014,-1.72%
03/06/2014,-1.73%
02/06/2014,-0.02%
30/05/2014,-0.45%
29/05/2014,-0.22%
28/05/2014,1.54%
27/05/2014,1.60%
23/05/2014,1.13%
22/05/2014,1.54%
21/05/2014,0.60%
20/05/2014,1.93%
19/05/2014,-0.32%
16/05/2014,-0.82%
15/05/2014,-1.37%
14/05/2014,0.40%
13/05/2014,1.41%
12/05/2014,2.50%
09/05/2014,0.45%
08/05/2014,-1.42%
07/05/2014,-1.80%
06/05/2014,0.08%
05/05/2014,-1.67%
02/05/2014,1.26%
01/05/2014,-0.09%
30/04/2014,2.07%
29/04/2014,-0.05%
28/04/2014,-1.02%
25/04/2014,-1.43%
24/04/2014,-0.70%
23/04/2014,0.97%
22/04/2014,-1.39%
21/04/2014,-2.32%
17/04/2014,1.07%
16/04/2014,1.15%
15/04/2014,-0.27%
14/04/2014,1.07%
11/04/2014,-5.74%
10/04/2014,0.96%
09/04/2014,3.14%
08/04/2014,0.34%
07/04/2014,-5.90%
04/04/2014,0.84%
03/04/2014,-5.02%
02/04/2014,7.39%
01/04/2014,-1.44%
31/03/2014,1.01%
28/03/2014,-1.20%
27/03/2014,-51.12%
26/03/2014,-0.34%
25/03/2014,-1.54%
24/03/2014,-1.83%
21/03/2014,0.53%
20/03/2014,-0.98%
19/03/2014,1.43%
18/03/2014,1.31%
17/03/2014,-0.23%
14/03/2014,-2.15%
13/03/2014,0.97%
12/03/2014,-1.43%
11/03/2014,-0.16%
10/03/2014,-0.91%
07/03/2014,0.37%
06/03/2014,0.60%
05/03/2014,0.00%
04/03/2014,0.68%
03/03/2014,-1.11%
28/02/2014,0.16%
27/02/2014,-0.46%
26/02/2014,0.66%
25/02/2014,0.88%
24/02/2014,-0.20%
21/02/2014,0.39%
20/02/2014,-0.18%
19/02/2014,0.32%
18/02/2014,0.49%
14/02/2014,1.26%
13/02/2014,-0.69%
12/02/2014,0.75%
11/02/2014,0.71%
10/02/2014,0.36%
07/02/2014,1.43%
06/02/2014,0.68%
05/02/2014,0.47%
04/02/2014,-3.49%
03/02/2014,0.67%
31/01/2014,2.30%
30/01/2014,2.31%
29/01/2014,0.79%
28/01/2014,-1.40%
27/01/2014,-2.16%
24/01/2014,-0.77%
23/01/2014,-0.57%
22/01/2014,0.49%
21/01/2014,0.35%
17/01/2014,0.67%
16/01/2014,-0.34%
15/01/2014,1.32%
14/01/2014,1.02%
13/01/2014,-1.11%
10/01/2014,-0.38%
09/01/2014,-0.22%
08/01/2014,1.87%
07/01/2014,1.08%
06/01/2014,-0.18%
03/01/2014,-0.04%
02/01/2014,0.29%
31/12/2013,-0.72%
30/12/2013,0.03%
27/12/2013,0.54%
26/12/2013,-0.09%
24/12/2013,0.64%
23/12/2013,1.80%
20/12/2013,0.70%
19/12/2013,0.83%
18/12/2013,-0.09%
17/12/2013,0.83%
16/12/2013,-1.06%
13/12/2013,-0.39%
12/12/2013,-0.72%
11/12/2013,1.05%
10/12/2013,0.48%
09/12/2013,0.11%
06/12/2013,1.19%
05/12/2013,0.55%
04/12/2013,0.04%
03/12/2013,-1.18%
02/12/2013,0.13%
29/11/2013,0.01%
27/11/2013,1.28%
26/11/2013,1.10%
25/11/2013,0.36%
22/11/2013,0.63%
21/11/2013,-0.29%
20/11/2013,-0.17%
19/11/2013,-0.39%
18/11/2013,0.09%
15/11/2013,0.09%
14/11/2013,2.70%
13/11/2013,-0.09%
12/11/2013,-0.18%
